flyer_name, product_name, unit_promo_price, uom, least_unit_for_promo, save_per_unit, discount, organic
week_10_page_1, Organic Red & Green Seedless Grapes, 8, 0, 2, 6, 2, 0
week_10_page_1, Blueberries, 0, 0, 0, 0, 0, 0
week_10_page_1, Red Seedless Grapes, 0, 0, 0, 0, 0, 0
week_10_page_1, Green Seedless Grapes, 0, 0, 0, 0, 0, 0
week_10_page_1, Gala Apples, 0, 0, 0, 0, 0, 0
week_10_page_1, Red & Green Seedless Grapes, 0, 0, 0, 0, 0, 0
week_10_page_2, 5-Pack Cookies, 99, 0, 20, 93, 12, 0
week_10_page_2, Coffee, 6, 0, 6, 6, 6, 0
week_10_page_2, Oktoberfest & Pale Ale, 2, 0, 0, 0, 0, 0
week_10_page_2, Pumpkin Down & Sculpin, 0, 0, 0, 0, 0, 0
week_10_page_2, Clawhammer, 0, 0, 0, 0, 0, 0
week_10_page_2, 5-pack cookies, 0, 0, 0, 0, 0, 0
week_10_page_2, Pale Ale, 0, 0, 0, 0, 0, 0
week_10_page_3, Yogurt, 257, 0, 16, 32, 12, 0
week_10_page_3, Frozen Fruit Bars, 8, 0, 8, 8, 7, 0
week_10_page_3, Pollinator Friendly Almond Butter, 7, 0, 5, 6, 4, 0
week_10_page_3, Almond Butters, 2, 0, 2, 2, 2, 0
week_10_page_3, Kombucha, 0, 0, 0, 0, 0, 0
week_10_page_3, Yoghurt, 0, 0, 0, 0, 0, 0
week_10_page_3, "Organic Pasta, Rice, & Quinoa", 0, 0, 0, 0, 0, 0
week_10_page_3, Lentil Chips, 0, 0, 0, 0, 0, 0
week_10_page_3, Frozen Fruit, 0, 0, 0, 0, 0, 0
week_10_page_3, Just Juices, 0, 0, 0, 0, 0, 0
week_10_page_3, Organic Ready-to-Eat Rice, 0, 0, 0, 0, 0, 0
week_10_page_3, Gluten-Free Oats, 0, 0, 0, 0, 0, 0
week_10_page_3, Pollinator friendly almond butter, 0, 0, 0, 0, 0, 0
week_10_page_3, Almond Butter, 0, 0, 0, 0, 0, 0
week_10_page_3, Almonds, 0, 0, 0, 0, 0, 0
week_10_page_3, Chips, 0, 0, 0, 0, 0, 0
week_10_page_4, Organic Grape Tomatoes, 5, 0, 4, 5, 3, 0
week_10_page_4, Alaskan Cod Cakes, 1, 0, 0, 0, 0, 0
week_10_page_4, Organic Buchi, 0, 0, 0, 0, 0, 0
week_10_page_4, Organic Zuchini, 0, 0, 0, 0, 0, 0
week_10_page_4, Watermelon Quarters, 0, 0, 0, 0, 0, 0
week_10_page_4, Tomatoes on the Vine, 0, 0, 0, 0, 0, 0
week_10_page_4, Coconut Shrimp Ring with Mango Sauce, 0, 0, 0, 0, 0, 0
week_10_page_4, Alaska Cod Cakes, 0, 0, 0, 0, 0, 0
week_10_page_4, Organic Zucchini, 0, 0, 0, 0, 0, 0
week_10_page_4, Tomatoes on-the-Vine, 0, 0, 0, 0, 0, 0
week_10_page_4, Water, 0, 0, 0, 0, 0, 0
week_10_page_4, Corn, 0, 0, 0, 0, 0, 0
week_11_page_1, Organic Red & Green Seedless Grapes, 100, 0, 38, 99, 7, 0
week_11_page_1, Alaska Salmon FIllet, 1, 0, 0, 1, 0, 0
week_11_page_1, Red & Green Seedless Grapes, 0, 0, 0, 0, 0, 0
week_11_page_2, 10-Pack Mini Cookies, 199, 0, 36, 99, 20, 0
week_11_page_2, Broccoli Cranberry Salad, 13, 0, 2, 8, 2, 0
week_11_page_2, Lemonades, 0, 0, 0, 0, 0, 0
week_11_page_2, Coffee, 0, 0, 0, 0, 0, 0
week_11_page_2, Lemonade, 0, 0, 0, 0, 0, 0
week_11_page_2, Kale Lemonade, 0, 0, 0, 0, 0, 0
week_11_page_2, Broccoli & Cranberry Salad, 0, 0, 0, 0, 0, 0
week_11_page_2, "Chardonnay, Cabernet, & Merlot", 0, 0, 0, 0, 0, 0
week_11_page_2, Sangiovese Riserva DOCG, 0, 0, 0, 0, 0, 0
week_11_page_2, Coffee Bags, 0, 0, 0, 0, 0, 0
week_11_page_2, Organic Juices, 0, 0, 0, 0, 0, 0
week_11_page_2, Organic Juice, 0, 0, 0, 0, 0, 0
week_11_page_2, 10 Pack Mini Cookies, 0, 0, 0, 0, 0, 0
week_11_page_2, Organic Rice, 0, 0, 0, 0, 0, 0
week_11_page_2, Juice, 0, 0, 0, 0, 0, 0
week_11_page_3, Peanut Butter, 99, 0, 48, 55, 48, 0
week_11_page_4, Wild Bourbon Salmon Fillets, 13, 0, 5, 7, 4, 0
week_11_page_4, Peaches, 2, 0, 2, 2, 0, 0
week_11_page_4, Peaches , 0, 0, 0, 0, 0, 0
week_11_page_4, Bourbon Salmon Fillets, 0, 0, 0, 0, 0, 0
week_11_page_4, Georgia White Shrimp, 0, 0, 0, 0, 0, 0
week_11_page_4, King Salmon Fillets, 0, 0, 0, 0, 0, 0
week_11_page_4, Nectarines, 0, 0, 0, 0, 0, 0
week_11_page_4, Sirloin Tip Roast, 0, 0, 0, 0, 0, 0
week_11_page_4, Organic Baguette, 0, 0, 0, 0, 0, 0
week_11_page_4, Scottish Bourbon Salmon Fillets, 0, 0, 0, 0, 0, 0
week_12_page_1, Yogurt, 3, 0, 1, 2, 0, 0
week_12_page_1, Omega 3, 0, 0, 0, 0, 0, 0
week_12_page_1, Pork Sausages, 0, 0, 0, 0, 0, 0
week_12_page_1, Ground Sirloin, 0, 0, 0, 0, 0, 0
week_12_page_1, BBQ Ribs Baby Back-Full Rack, 0, 0, 0, 0, 0, 0
week_12_page_1, House-Made Pork Sausage, 0, 0, 0, 0, 0, 0
week_12_page_1, Yoghurt, 0, 0, 0, 0, 0, 0
week_12_page_1, King Salmon Fillets, 0, 0, 0, 0, 0, 0
week_12_page_1, House-Made Pork Sausages, 0, 0, 0, 0, 0, 0
week_12_page_1, Cooked Shrimp, 0, 0, 0, 0, 0, 0
week_12_page_1, Pork Sausage, 0, 0, 0, 0, 0, 0
week_12_page_2, 4-Pack Muffins, 750, 0, 20, 26, 20, 0
week_12_page_2, Croissant Sandwiches, 12, 0, 7, 7, 4, 0
week_12_page_2, Pumpkin Streusel Loaf, 4, 0, 0, 0, 0, 0
week_12_page_2, Pretzel Bites, 0, 0, 0, 0, 0, 0
week_12_page_2, Applewood Smoked Turkey, 0, 0, 0, 0, 0, 0
week_12_page_2, Red Raspberry Punch Smoothie, 0, 0, 0, 0, 0, 0
week_12_page_2, Croissant Sandwich, 0, 0, 0, 0, 0, 0
week_12_page_2, Muffins, 0, 0, 0, 0, 0, 0
week_12_page_2, 4-Pack Mufins, 0, 0, 0, 0, 0, 0
week_12_page_2, Juice, 0, 0, 0, 0, 0, 0
week_12_page_3, Nutritional Bars, 986, 0, 99, 399, 26, 0
week_12_page_3, Whole & Quartered Canned Artichoke Hearts, 16, 0, 14, 15, 10, 0
week_12_page_3, Organix Deluxe Mac & Cheese, 5, 0, 3, 4, 2, 0
week_12_page_3, Chocolate Bars, 2, 0, 2, 2, 0, 0
week_12_page_3, BRAND WIDE SALE, 0, 0, 0, 0, 0, 0
week_12_page_3, Organic Deluxe Mac&Cheese, 0, 0, 0, 0, 0, 0
week_12_page_3, Canned Pumpkin, 0, 0, 0, 0, 0, 0
week_12_page_3, Organic Deluxe Mac & Cheese, 0, 0, 0, 0, 0, 0
week_12_page_3, Mac & Cheese, 0, 0, 0, 0, 0, 0
week_12_page_3, Nutrional Bars, 0, 0, 0, 0, 0, 0
week_12_page_3, Nutrition Bars, 0, 0, 0, 0, 0, 0
week_12_page_3, Chocolate Bar, 0, 0, 0, 0, 0, 0
week_12_page_3, Nutrition Bar, 0, 0, 0, 0, 0, 0
week_12_page_4, Organic Peaches & Nectarines, 12, 0, 7, 7, 3, 0
week_12_page_4, London Broil, 2, 0, 2, 2, 0, 0
week_12_page_4, Organic Honeycrisp Apples, 0, 0, 0, 0, 0, 0
week_12_page_4, Coconut & Tornado Shrimp Rings, 0, 0, 0, 0, 0, 0
week_12_page_4, Flour, 0, 0, 0, 0, 0, 0
week_12_page_4, Water, 0, 0, 0, 0, 0, 0
week_13_page_1, Whole Chicken, 24, 0, 3, 4, 2, 0
week_13_page_1, Bone-In Pork Chops, 0, 0, 0, 0, 0, 0
week_13_page_1, NY Strips, 0, 0, 0, 0, 0, 0
week_13_page_1, Whole Chickens, 0, 0, 0, 0, 0, 0
week_13_page_1, Wild American White Shrimp, 0, 0, 0, 0, 0, 0
week_13_page_1, NY Strip Steak, 0, 0, 0, 0, 0, 0
week_13_page_1, 24 Month Parmigiano Reggiano DOP, 0, 0, 0, 0, 0, 0
week_13_page_1, Whole Chickens , 0, 0, 0, 0, 0, 0
week_13_page_1, NY Strip Steaks, 0, 0, 0, 0, 0, 0
week_13_page_1, "Organic Acorn, Butternut, & Spaghetti Squash", 0, 0, 0, 0, 0, 0
week_13_page_1, NY Strip, 0, 0, 0, 0, 0, 0
week_13_page_1, Strip Steak, 0, 0, 0, 0, 0, 0
